"","Gene.Description","Gene.Accession.Number","index"
"398","NT5 5' nucleotidase (CD73)","D38524_at",398
"399","PK-120","D38535_at",399
"400","KIAA0076 gene","D38548_at",400
"401","KIAA0068 gene; partial cds","D38549_at",401
"402","KIAA0075 gene; partial cds","D38550_at",402
"403","KIAA0078 gene","D38551_at",403
"404","KIAA0073 gene; partial cds","D38552_at",404
"405","KIAA0074 gene; partial cds","D38553_at",405
"406","KIAA0079 gene","D38555_at",406
"407","Calgizzarin","D38583_at",407
"408","Kid (kinesin-like DNA binding protein)","D38751_at",408
"409","KIAA0087 gene","D42038_at",409
"410","KIAA0081 gene; partial cds","D42039_at",410
"411","KIAA0088 gene; partial cds","D42041_at",411
"412","KIAA0084 gene; partial cds","D42043_at",412
"413","KIAA0090 gene; partial cds","D42044_at",413
"414","KIAA0086 gene","D42045_at",414
"415","KIAA0083 gene; partial cds","D42046_at",415
"416","KIAA0089 gene; partial cds","D42047_at",416
"417","KIAA0091 gene","D42053_at",417
"418","KIAA0092 gene","D42054_at",418
"419","NEDD-4 PROTEIN","D42055_at",419
"420","RanBP2 (Ran-binding protein 2)","D42063_at",420
"421","NF1 Neurofibromin","D42072_at",421
"422","Reticulocalbin","D42073_at",422
"423","KIAA0094 gene; partial cds","D42084_at",423
"424","KIAA0095 gene","D42085_at",424
"425","KIAA0118 gene; partial cds","D42087_at",425
"426","Phospholipase C","D42108_at",426
"427","ESP1/CRP2","D42123_at",427
"428","PIG-B","D42138_at",428
"429","KIAA0096 gene; partial cds","D43636_at",429
"430","ETO mRNA","D43638_at",430
"431","YL-1 mRNA for YL-1 protein (nuclear protein with DNA-binding ability)","D43642_at",431
"432","Chemokine","D43767_at",432
"433","LYMPHOTACTIN PRECURSOR","D43768_at",433
"434","Squamous cell carcinama of esophagus mRNA for GRB-7 SH2 domain protein","D43772_at",434
"435","KIAA0100 gene","D43947_at",435
"436","KIAA0097 gene","D43948_at",436
"437","KIAA0082 gene; partial cds","D43949_at",437
"438","T-COMPLEX PROTEIN 1; EPSILON SUBUNIT","D43950_at",438
"439","ATP SYNTHASE GAMMA CHAIN; MITOCHONDRIAL PRECURSOR","D43951_at",439
"440","Proteasome subunit p112","D44466_at",440
"441","Proteasome activator hPA28 subunit beta","D45248_at",441
"442","ApM2 mRNA for GS2374 (unknown product specific to adipose tissue)","D45370_at",442
"443","ApM1 mRNA for GS3109 (novel adipose specific collagen-like factor)","D45371_at",443
"444","Cone-specific cGMP phosphodiesterase gamma subunit","D45399_at",444
"445","LIMK-2","D45906_at",445
"446","S-ADENOSYLMETHIONINE SYNTHETASE ALPHA AND BETA FORMS","D49357_at",446
"447","GB DEF = NADP dependent leukotriene b4 12-hydroxydehydrogenase; partial cds","D49387_at",447
"448","HTR3 5-hydroxytryptamine (serotonin) receptor 3","D49394_at",448
"449","Apo1_Human (MER5(Aop1-Mouse)-like protein)","D49396_at",449
"450","Fetus brain mRNA for vacuolar ATPase","D49400_at",450
"451","IL3RA Interleukin 3 receptor; alpha (low affinity)","D49410_at",451
"452","TTPA Tocopherol (alpha) transfer protein (ataxia (Friedreich-like) with vitamin E deficiency)","D49488_at",452
"453","Protein disulfide isomerase-related protein P5","D49489_at",453
"454","Protein disulfide isomerase-related protein (PDIR)","D49490_at",454
"455","Bone morphogenetic protein-3b","D49493_at",455
"456","U2AF1-RS2 mRNA","D49677_at",456
"457","Cytoskeleton associated protein (CG22) mRNA","D49738_at",457
"458","HGF activator like protein","D49742_at",458
"459","Fructose 6-phosphate;2-kinase/fructose 2;6-bisphosphatase","D49817_at",459
"460","Fructose 6-phosphate;2-kinase/fructose 2;6-bisphosphatase; partial cds","D49818_at",460
"461","Liver mRNA for interferon-gamma inducing factor(IGIF)","D49950_at",461
"462","Fetus brain mRNA for membrane glycoprotein M6","D49958_at",462
"463","Proteasome subunit p40_/ Mov34 protein","D50063_at",463
"464","CANX Calnexin","D50310_at",464
"465","UKATP-1","D50312_at",465
"466","Nucleosome assembly protein","D50370_at",466
"467","NRAMP1 Natural resistance-associated macrophage protein 1 (might include Leishmaniasis)","D50402_at",467
"468","RNA helicase (HRH1)","D50487_at",468
"469","Transcription elongation factor S-II; hS-II-T1","D50495_at",469
"470","GB DEF = TI-227H","D50525_at",470
"471","Macrophage lectin 2","D50532_at",471
"472","GB DEF = Inward rectifier K channel","D50582_at",472
"473","DNA for phosphodieaterase 3B","D50640_at",473
"474","SDF2","D50645_at",474
"475","CW-1 mRNA","D50663_at",475
"476","Apolipoprotein E receptor 2","D50678_at",476
"477","TGFBR2 Transforming growth factor; beta receptor II (70-80kD)","D50683_at",477
"478","C-myc binding protein","D50692_at",478
"479","Placental leucine aminopeptidase","D50810_at",479
"480","Ceramide glucosyltransferase","D50840_at",480
"481","DOCK180 protein mRNA","D50857_at",481
"482","TESK1","D50863_at",482
"483","KIAA0121 gene","D50911_at",483
"484","KIAA0122 gene; partial cds","D50912_at",484
"485","KIAA0123 gene; partial cds","D50913_at",485
"486","KIAA0124 gene; partial cds","D50914_at",486
"487","KIAA0125 gene","D50915_at",487
"488","KIAA0126 gene","D50916_at",488
"489","KIAA0127 gene","D50917_at",489
"490","KIAA0128 gene; partial cds","D50918_at",490
"491","KIAA0129 gene","D50919_at",491
"492","KIAA0130 gene","D50920_at",492
"493","KIAA0132 gene","D50922_at",493
"494","KIAA0133 gene","D50923_at",494
"495","KIAA0134 gene","D50924_at",495
"496","Serine/threonine kinase mRNA; partial cds","D50925_at",496
"497","KIAA0136 gene; partial cds","D50926_at",497
"498","KIAA0137 gene","D50927_at",498
"499","KIAA0138 gene","D50928_at",499
"500","KIAA0140 gene","D50930_at",500
"501","KIAA0141 gene","D50931_at",501
"502","GB DEF = B-cell PABL (pseudoautosomal boundary-like sequence) mRNA; clone Bc4","D55638_at",502
"503","GB DEF = Monocyte PABL (pseudoautosomal boundary-like sequence) mRNA; clone Mo2","D55640_at",503
"504","MDH1 Malate dehydrogenase 1; NAD (soluble)","D55654_at",504
"505","Cysteine protease","D55696_at",505
"506","DNA REPLICATION LICENSING FACTOR CDC47 HOMOLOG","D55716_at",506
"507","Reg-related sequence derived peptide-1","D56495_at",507
"508","NCBP interacting protein 1","D59253_at",508
"509","DJ-1 protein","D61380_at",509
"510","Phosphoribosypyrophosphate synthetase-associated protein 39","D61391_at",510
"511","GB DEF = ETS-like 30 kDa protein","D63134_at",511
"512","GB DEF = ETS-like 30 kDa protein","D63135_at",512
"513","Serum lectin P35","D63160_at",513
"514","Acetylhydrolase IB beta-subunit","D63390_at",514
"515","Platelet activating factor acetylhydrolase IB gamma-subunit","D63391_at",515
"516","AQP4 Aquaporin 4","D63412_at",516
"517","KIAA0109 gene","D63475_at",517
"518","KIAA0142 gene","D63476_at",518
"519","KIAA0143 gene; partial cds","D63477_at",519
"520","KIAA0144 gene","D63478_at",520
"521","KIAA0146 gene; partial cds","D63480_at",521
"522","KIAA0147 gene; partial cds","D63481_at",522
"523","KIAA0148 gene","D63482_at",523
"524","KIAA0149 gene","D63483_at",524
"525","KIAA0150 gene; partial cds","D63484_at",525
"526","KIAA0151 gene","D63485_at",526
"527","KIAA0152 gene","D63486_at",527
"528","KIAA0153 gene; partial cds","D63487_at",528
"529","Unc-18homologue","D63506_at",529
"530","Rod photoreceptor protein","D63813_at",530
"531","Unc-18 homologue","D63851_at",531
"532","HMG1 High-mobility group (nonhistone chromosomal) protein 1","D63874_at",532
"533","KIAA0155 gene","D63875_at",533
"534","KIAA0154 gene; partial cds","D63876_at",534
"535","KIAA0241 gene; partial cds","D63877_at",535
"536","PROBABLE PROTEIN DISULFIDE ISOMERASE ER-60 PRECURSOR","D63878_at",536
"537","KIAA0156 gene","D63879_at",537
"538","KIAA0159 gene","D63880_at",538
"539","KIAA0160 gene; partial cds","D63881_at",539
"540","MANA2 Mannosidase; alpha type II","D63998_at",540
"541","Tob family","D64109_at",541
"542","Tob family","D64110_at",542
"543","Histone H1x","D64142_at",543
"544","Mr 110;000 antigen","D64154_at",544
"545","ATP binding protein associated with cell differentiation; partial cds","D64158_at",545
"546","GB DEF = 3-7 gene product; partial cds","D64159_at",546
"547","SEC14L SEC14 (S. cerevisiae)-like","D67029_at",547
"548","Doc2 beta","D70830_at",548
"549","Zic protein","D76435_at",549
"550","Hkf-1 mRNA","D76444_at",550
"551","Dihydropyrimidinase","D78011_at",551
"552","CRMP1 Collapsin response mediator protein 1","D78012_at",552
"553","Dihydropyrimidinase related protein-3","D78014_at",553
"554","GB DEF = Adult (34 year old) Male liver mRNA for squalene epoxidase; partial cds","D78129_at",554
"555","YWHAZ Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; zeta polypeptide","D78134_at",555
"556","55.11 binding protein","D78151_at",556
"557","GB DEF = RasGTPase activating protein; partial cds","D78156_at",557
"558","ICSAT transcription factor mRNA; partial cds; similar to mouse Pip/LSIRF ( IRF-4) sequence","D78261_at",558
"559","Proteasome subunit p42","D78275_at",559
"560","Testis-specific TCP20","D78333_at",560
"561","Ankyrin motif","D78334_at",561
"562","5'-terminal region of UMK","D78335_at",562
"563","Ornithine decarboxylase antizyme; ORF 1 and ORF 2","D78361_at",563
"564","K12 keratin","D78367_at",564
"565","Ubiquitin-conjugating enzyme","D78514_at",565
"566","CAD PROTEIN","D78586_at",566
"567","MEST Mesoderm specific transcript (mouse) homolog","D78611_at",567
"568","Ribosomal protein L39","D79205_at",568
"569","KIAA0161 gene","D79983_at",569
"570","A cell surface protein","D79985_at",570
"571","KIAA0164 gene","D79986_at",571
"572","KIAA0165 gene","D79987_at",572
"573","KIAA0166 gene","D79988_at",573
"574","KIAA0167 gene","D79989_at",574
"575","KIAA0168 gene","D79990_at",575
"576","KIAA0169 gene; partial cds","D79991_at",576
"577","KIAA0170 gene","D79992_at",577
"578","KIAA0171 gene","D79993_at",578
"579","KIAA0172 gene; partial cds","D79994_at",579
"580","KIAA0173 gene","D79995_at",580
"581","KIAA0174 gene","D79996_at",581
"582","KIAA0175 gene","D79997_at",582
"583","KIAA0176 gene; partial cds","D79998_at",583
"584","KIAA0177 gene; partial cds","D79999_at",584
"585","KIAA0179 gene; partial cds","D80001_at",585
"586","KIAA0180 gene; partial cds","D80002_at",586
"587","KIAA0181 gene; partial cds","D80003_at",587
"588","KIAA0182 gene; partial cds","D80004_at",588
"589","KIAA0183 gene; partial cds","D80005_at",589
"590","KIAA0184 gene; partial cds","D80006_at",590
"591","KIAA0185 gene; partial cds","D80007_at",591
"592","KIAA0186 gene","D80008_at",592
"593","KIAA0187 gene","D80009_at",593
"594","KIAA0188 gene; partial cds","D80010_at",594
"595","KIAA0189 gene","D80011_at",595
"596","KIAA0190 gene; partial cds","D80012_at",596
"597","Kidney mRNA for putative membrane protein with histidine rich charge clusters","D82060_at",597
"598","B-cell mRNA for a member of the short-chain alcohol dehydrogenase family; partial cds","D82061_at",598
"599","AC1 mRNA","D82070_at",599
"600","Amino acid transport-related protein mRNA","D82326_at",600
"601","AMY","D82343_at",601
"602","NBPhox","D82344_at",602
"603","NB thymosin beta","D82345_at",603
"604","HNSPC","D82346_at",604
"605","5-aminoimidazole-4-carboxamide-1-beta-D-ribonucleoti de transformylase/inosinicase","D82348_at",605
"606","Epidermoid carcinoma mRNA for ubiquitin-conjugating enzyme E2 similar to Drosophila bendless gene product","D83004_at",606
"607","Nel-related protein 2","D83018_at",607
"608","Nuclear protein; NP220","D83032_at",608
"609","Tumor necrosis factor type 1 receptor associated protein (TRAP1) mRNA; partial cds","D83195_at",609
"610","ATM Ataxia telangiectasia mutated (includes complementation groups A; C and D)","D83243_at",610
"611","ZAKI-4 mRNA in human skin fibroblast","D83407_at",611
"612","Cadherin-15","D83542_at",612
"613","RP105","D83597_at",613
"614","Calcium-binding protein in amniotic fluid 1","D83657_at",614
"615","Brain 3'UTR of mRNA for neuronal death protein; partial sequence","D83699_at",615
"616","Brain mRNA for photolyase homolog","D83702_at",616
"617","Peroxisome assembly factor-2","D83703_at",617
"618","Adult heart mRNA for neutral calponin","D83735_at",618
"619","Clone N9 Rep-8 mRNA","D83767_at",619
"620","KIAA0191 gene; partial cds","D83776_at",620
"621","KIAA0193 gene","D83777_at",621
"622","KIAA0194 gene; partial cds","D83778_at",622
"623","KIAA0195 gene","D83779_at",623
"624","KIAA0196 gene","D83780_at",624
"625","KIAA0197 gene; partial cds","D83781_at",625
"626","KIAA0199 gene; partial cds","D83782_at",626
"627","KIAA0192 gene; partial cds","D83783_at",627
"628","KIAA0198 gene; partial cds","D83784_at",628
"629","KIAA0200 gene","D83785_at",629
"630","FCN1 Ficolin (collagen/fibrinogen domain-containing) 1","D83920_at",630
"631","RBP-MS/type 1","D84110_at",631
"632","WS-3 mRNA","D84145_at",632
"633","IgG Fc binding protein","D84239_at",633
"634","CD38 CD38 antigen (p45)","D84276_at",634
"635","TPRD","D84294_at",635
"636","Phosphoethanolamine cytidylyltransferase","D84307_at",636
"637","P52 and p64 isoforms of N-Shc","D84361_at",637
"638","Fetal brain mRNA for hyaluronan synthase","D84424_at",638
"639","UDP-galactose translocator","D84454_at",639
"640","P105MCM mRNA","D84557_at",640
"641","Thymosin beta-4 mRNA","D85181_at",641
"642","TR3beta","D85245_at",642
"643","TRHR Thyrotropin-releasing hormone receptor","D85376_at",643
"644","Phosphatidylinositol-glycan-class C (PIG-C)","D85418_at",644
"645","GB DEF = Cdc5; partial cds","D85423_at",645
"646","DNAJ PROTEIN HOMOLOG 1","D85429_at",646
"647","GB DEF = MURR1 mRNA; sequence","D85433_at",647
"648","GB DEF = LIM domain; partial cds","D85527_at",648
"649","Enhancer of rudimentary homolog mRNA","D85758_at",649
"650","DNA for rhoHP1","D85815_at",650
"651","P97 homologous protein","D85939_at",651
"652","EP3-IV gene extracted from Human DNA for prostaglandin E receptor EP3 subtype","D86096_cds3_at",652
"653","Osteoblast mRNA for osteonidogen","D86425_at",653
"654","Non-lens beta gamma-crystallin like protein (AIM1) mRNA; partial cds","D86479_at",654
"655","Truncated pancreatic polypeptide receptor PP2 mRNA","D86519_at",655
"656","P97 homologous protein; partial cds","D86549_at",656
"657","Stac","D86640_at",657
"658","KIAA0201 gene","D86956_at",658
"659","KIAA0202 gene; partial cds","D86957_at",659
"660","KIAA0204 gene","D86959_at",660
"661","KIAA0205 gene","D86960_at",661
"662","KIAA0206 gene; partial cds","D86961_at",662
"663","KIAA0207 gene","D86962_at",663
"664","PTB Ribosomal protein L26","D86963_at",664
"665","KIAA0209 gene; partial cds","D86964_at",665
"666","KIAA0210 gene","D86965_at",666
"667","KIAA0211 gene","D86966_at",667
"668","KIAA0212 gene","D86967_at",668
"669","KIAA0213 gene; partial cds","D86968_at",669
"670","KIAA0215 gene","D86969_at",670
"671","KIAA0216 gene","D86970_at",671
"672","KIAA0217 gene; partial cds","D86971_at",672
"673","KIAA0218 gene","D86972_at",673
"674","KIAA0219 gene; partial cds","D86973_at",674
"675","KIAA0222 gene","D86975_at",675
"676","KIAA0223 gene; partial cds","D86976_at",676
"677","KIAA0224 gene","D86977_at",677
"678","KIAA0225 gene; partial cds","D86978_at",678
"679","KIAA0226 gene","D86979_at",679
"680","KIAA0227 gene; partial cds","D86980_at",680
"681","KIAA0228 gene; partial cds","D86981_at",681
"682","KIAA0229 gene; partial cds","D86982_at",682
"683","KIAA0230 gene; partial cds","D86983_at",683
"684","KIAA0231 gene; partial cds","D86984_at",684
"685","KIAA0232 gene","D86985_at",685
"686","5'OY11.1 gene extracted from Human (lambda) DNA for immunogloblin light chain","D87009_cds3_at",686
"687","GB DEF = (lambda) DNA for immunoglobin light chain","D87011_at",687
"688","GB DEF = (lambda) DNA for immunoglobin light chain","D87012_at",688
"689","J1 gene extracted from Human (lambda) DNA for immunoglobin light chain","D87023_cds2_at",689
"690","GB DEF = (lambda) DNA for immunoglobin light chain","D87024_at",690
"691","KIAA0233 gene","D87071_at",691
"692","KIAA0236 gene","D87073_at",692
"693","KIAA0237 gene","D87074_at",693
"694","KIAA0238 gene; partial cds","D87075_at",694
"695","KIAA0239 gene; partial cds","D87076_at",695
"696","KIAA0240 gene; partial cds","D87077_at",696
"697","KIAA0235 gene; partial cds","D87078_at",697
"698","DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 3","D87116_at",698
"699","Cancellous bone osteoblast mRNA for GS3955","D87119_at",699
"700","Cancellous bone osteoblast mRNA for GS3786","D87120_at",700
"701","Translocation protein-1","D87127_at",701
"702","Cancellous bone osteoblast mRNA for serin protease with IGF-binding motif","D87258_at",702
"703","Rhodanese","D87292_at",703
"704","HLCS Holocarboxylase synthetase (biotin-[proprionyl-Coenzyme A-carboxylase (ATP-hydrolysing)] ligase)","D87328_at",704
"705","KIAA0245 gene","D87432_at",705
"706","KIAA0246 gene; partial cds","D87433_at",706
"707","KIAA0247 gene","D87434_at",707
"708","ARF3 ADP-ribosylation factor 3","D87435_at",708
"709","KIAA0249 gene","D87436_at",709
"710","KIAA0250 gene","D87437_at",710
"711","KIAA0251 gene; partial cds","D87438_at",711
"712","KIAA0252 gene; partial cds","D87440_at",712
"713","KIAA0253 gene; partial cds","D87442_at",713
"714","KIAA0254 gene","D87443_at",714
"715","KIAA0255 gene","D87444_at",715
"716","KIAA0256 gene","D87445_at",716
"717","KIAA0257 gene; partial cds","D87446_at",717
"718","KIAA0258 gene","D87447_at",718
"719","KIAA0259 gene; partial cds","D87448_at",719
"720","KIAA0260 gene; partial cds","D87449_at",720
"721","KIAA0261 gene; partial cds","D87450_at",721
"722","KIAA0262 gene","D87451_at",722
"723","KIAA0263 gene","D87452_at",723
"724","KIAA0264 gene; partial cds","D87453_at",724
"725","KIAA0265 gene; partial cds","D87454_at",725
"726","KIAA0266 gene","D87455_at",726
"727","KIAA0281 gene","D87457_at",727
"728","KIAA0282 gene; partial cds","D87458_at",728
"729","KIAA0269 gene","D87459_at",729
"730","KIAA0270 gene; partial cds","D87460_at",730
"731","KIAA0271 gene","D87461_at",731
"732","KIAA0272 gene; partial cds","D87462_at",732
"733","KIAA0273 gene","D87463_at",733
"734","KIAA0274 gene","D87464_at",734
"735","KIAA0275 gene","D87465_at",735
"736","KIAA0276 gene; partial cds","D87466_at",736
"737","KIAA0277 gene","D87467_at",737
"738","KIAA0278 gene; partial cds","D87468_at",738
"739","KIAA0279 gene; partial cds","D87469_at",739
"740","KIAA0280 gene; partial cds","D87470_at",740
"741","Heat shock transcription factor 4","D87673_at",741
"742","KIAA0241 gene; partial cds","D87682_at",742
"743","KIAA0243 gene; partial cds","D87683_at",743
"744","KIAA0242 gene; partial cds","D87684_at",744
"745","KIAA0244 gene; partial cds","D87685_at",745
"746","CAG-isl 7 {trinucleotide repeat-containing sequence} [human; pancreas; mRNA Partial; 701 nt]","D87735_at",746
"747","KIAA0268 gene; partial cds","D87742_at",747
"748","KIAA0267 gene; partial cds","D87743_at",748
"749","Platelet-activating factor acetylhydrolase 2","D87845_at",749
"750","GB DEF = Alpha(1;2)fucosyltransferase; 5'UTR partial sequence","D87937_at",750
"751","RTP","D87953_at",751
"752","Male foreskin fibroblast DNA for protein involved in sexual development","D87957_at",752
"753","CMP-sialic acid transporter","D87969_at",753
"754","UDP-galactose transporter related isozyme 1","D87989_at",754
"755","UDP-galactose transporter 2","D88146_at",755
"756","Acetyl-coenzyme A transporter","D88152_at",756
"757","Retina-specific amine oxidase","D88213_at",757
"758","GB DEF = (lambda) DNA for immunoglobin light chain","D88270_at",758
"759","Proteasome inhibitor hPI31 subunit","D88378_at",759
